iter	RMSE
0	14.18223813
1	13.32441168
2	12.4976272
3	11.76189202
4	11.09663456
5	10.51745618
6	9.964714499
7	9.465634595
8	9.072703287
9	8.645295981
10	8.270683125
11	7.928650602
12	7.645328408
13	7.405138528
14	7.176639831
15	6.989108758
16	6.793193708
17	6.618717001
18	6.455709468
19	6.322926106
20	6.214059599
21	6.114416917
22	6.010212011
23	5.924591016
24	5.837833538
25	5.77890159
26	5.704477308
27	5.643568209
28	5.601202957
29	5.551323261
30	5.497957722
31	5.450669356
32	5.41212962
33	5.381601018
34	5.342799897
35	5.306483739
36	5.280556665
37	5.250548366
38	5.225541004
39	5.201267617
40	5.177279789
41	5.164660645
42	5.141273902
43	5.125444596
44	5.104845088
45	5.085796022
46	5.062938778
47	5.048101783
48	5.032226896
49	5.012361628
50	4.992748299
51	4.984190033
52	4.970682074
53	4.960783037
54	4.939936944
55	4.931970867
56	4.924589287
57	4.911347976
58	4.892315892
59	4.884198016
60	4.873717465
61	4.865490988
62	4.84973655
63	4.836467411
64	4.831096694
65	4.82222766
66	4.814181374
67	4.807666713
68	4.796076284
69	4.792191975
70	4.782465291
71	4.77480347
72	4.764483521
73	4.751619975
74	4.742623418
75	4.729719211
76	4.721477733
77	4.709398324
78	4.703081918
79	4.696479777
80	4.691258325
81	4.687584887
82	4.675025153
83	4.663213092
84	4.649849669
85	4.642317509
86	4.630350768
87	4.625624774
88	4.615781597
89	4.60258851
90	4.593315242
91	4.586205661
92	4.583628835
93	4.577352711
94	4.575433986
95	4.572183839
96	4.562145982
97	4.551371552
98	4.543962753
99	4.537400589
