iter	Passed	Remaining
0	1	123
1	2	114
2	3	109
3	4	107
4	5	105
5	6	104
6	7	103
7	8	101
8	9	99
9	10	98
10	12	97
11	13	96
12	14	95
13	15	93
14	16	92
15	17	91
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	83
22	24	83
23	25	82
24	27	81
25	28	80
26	29	79
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	42	65
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	31
71	77	29
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
